epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,116.208,1.19173,1.95323,1.16985,0.99042,0.42024,0.91791,0.64502,0.91847,2.20406,0.98371,0.00056,0.00056,0.00056
2,256.42,1.06291,1.04472,1.07862,0.91161,0.67079,0.91619,0.64297,0.96912,1.89845,1.05356,0.00111743,0.00111743,0.00111743
3,358.914,1.09272,0.98982,1.14343,0.88161,0.92683,0.94526,0.65242,1.04902,1.50371,1.13578,0.00165189,0.00165189,0.00165189
4,443.524,1.07692,0.91673,1.13661,0.90816,0.88438,0.9584,0.60915,1.25754,1.23887,1.27582,0.0018812,0.0018812,0.0018812
5,541.671,1.0593,0.85381,1.13132,0.93411,0.97977,0.98327,0.73193,0.94349,0.92476,1.06493,0.0018416,0.0018416,0.0018416
6,635.006,1.07488,0.83614,1.14202,0.93749,0.91451,0.9744,0.70609,1.03466,0.9254,1.14401,0.001802,0.001802,0.001802
7,728.122,1.07011,0.77166,1.13717,0.92643,0.98374,0.96916,0.69634,1.06042,0.88202,1.21535,0.0017624,0.0017624,0.0017624
8,823.879,1.0127,0.70303,1.09343,0.95999,0.97537,0.99217,0.74523,0.91076,0.71422,1.09558,0.0017228,0.0017228,0.0017228
9,919.951,0.99927,0.66874,1.09245,0.98005,0.99824,0.99312,0.74021,0.94236,0.75464,1.1185,0.0016832,0.0016832,0.0016832
10,1016.13,0.97149,0.64745,1.08335,0.98363,0.99187,0.99121,0.75392,0.93119,0.60502,1.07792,0.0016436,0.0016436,0.0016436
11,1112.18,0.99125,0.62891,1.09215,0.98293,0.98374,0.99069,0.73846,0.92797,0.62012,1.09925,0.001604,0.001604,0.001604
12,1217.24,0.98865,0.63364,1.1078,0.97131,0.98374,0.989,0.75691,0.84207,0.60797,1.04384,0.0015644,0.0015644,0.0015644
13,1324.59,0.966,0.61644,1.09271,0.98159,0.99187,0.99344,0.75836,0.85938,0.5286,1.0663,0.0015248,0.0015248,0.0015248
14,1409.47,0.96144,0.59222,1.09034,0.99068,0.99593,0.99463,0.77683,0.83778,0.51278,1.03192,0.0014852,0.0014852,0.0014852
15,1494.13,0.96051,0.56558,1.08593,0.97203,0.98902,0.9893,0.7672,0.87106,0.52178,1.07909,0.0014456,0.0014456,0.0014456
16,1580.68,0.92926,0.5462,1.06941,0.99595,1,0.99273,0.78394,0.82541,0.4955,1.03548,0.001406,0.001406,0.001406
17,1668.27,0.94808,0.57336,1.0889,0.9838,0.98734,0.99315,0.76903,0.83975,0.51384,1.05079,0.0013664,0.0013664,0.0013664
18,1757.51,0.8906,0.52908,1.06356,0.98827,1,0.99418,0.77675,0.82797,0.46676,1.03253,0.0013268,0.0013268,0.0013268
19,1847.96,0.89475,0.52871,1.04669,0.99191,0.99658,0.995,0.7688,0.82832,0.48536,1.03863,0.0012872,0.0012872,0.0012872
20,1940.18,0.94378,0.56433,1.09897,0.99169,1,0.99314,0.77215,0.81554,0.45322,1.04409,0.0012476,0.0012476,0.0012476
21,2031.1,0.87286,0.51279,1.06518,0.99193,0.99961,0.99451,0.80219,0.78663,0.42255,1.01879,0.001208,0.001208,0.001208
22,2121.55,0.90872,0.52278,1.0663,0.99542,1,0.99496,0.79372,0.77274,0.42523,1.01404,0.0011684,0.0011684,0.0011684
23,2214.26,0.87624,0.50907,1.0626,0.99512,1,0.99379,0.79214,0.77545,0.43067,0.99964,0.0011288,0.0011288,0.0011288
24,2305.89,0.86019,0.47898,1.05722,0.99081,1,0.99384,0.80194,0.78643,0.4151,1.01564,0.0010892,0.0010892,0.0010892
25,2397.73,0.87077,0.49332,1.05684,0.99313,0.99593,0.99382,0.79187,0.78466,0.42142,1.02138,0.0010496,0.0010496,0.0010496
26,2489.37,0.85523,0.47797,1.04814,0.99243,0.99593,0.99386,0.79345,0.75949,0.39646,1.01669,0.00101,0.00101,0.00101
27,2579.87,0.87454,0.4826,1.06684,0.98395,0.99662,0.99398,0.79761,0.80914,0.4081,1.06488,0.0009704,0.0009704,0.0009704
28,2669.78,0.85062,0.47266,1.04496,0.99543,0.99593,0.99447,0.80655,0.72478,0.37645,1.00734,0.0009308,0.0009308,0.0009308
29,2759.45,0.84814,0.47664,1.04873,0.9955,1,0.99407,0.79811,0.76222,0.38913,1.00542,0.0008912,0.0008912,0.0008912
30,2847.67,0.84713,0.47046,1.05174,0.99562,1,0.99346,0.79729,0.75834,0.37819,1.00705,0.0008516,0.0008516,0.0008516
31,2934.72,0.85794,0.45956,1.04657,0.99511,1,0.99423,0.81362,0.7768,0.37889,1.03211,0.000812,0.000812,0.000812
32,3020.24,0.84357,0.45455,1.04572,0.99568,1,0.99455,0.80239,0.75838,0.3687,1.00049,0.0007724,0.0007724,0.0007724
33,3104.54,0.83644,0.43788,1.04717,0.99575,1,0.9946,0.80427,0.77564,0.36602,1.0483,0.0007328,0.0007328,0.0007328
34,3188.8,0.81377,0.44146,1.05258,0.99571,1,0.99423,0.81645,0.74394,0.35338,1.03601,0.0006932,0.0006932,0.0006932
35,3274.84,0.82482,0.44356,1.04821,0.99569,1,0.99395,0.81165,0.77656,0.36185,1.01532,0.0006536,0.0006536,0.0006536
36,3361.5,0.78678,0.42266,1.02088,0.99569,1,0.99455,0.81975,0.73207,0.33907,1.01493,0.000614,0.000614,0.000614
37,3446.85,0.78327,0.42519,1.03079,0.99574,1,0.99391,0.8077,0.76617,0.35239,1.031,0.0005744,0.0005744,0.0005744
38,3530.86,0.79969,0.43291,1.03899,0.99567,1,0.99277,0.80829,0.78166,0.34887,1.03561,0.0005348,0.0005348,0.0005348
39,3616.2,0.78228,0.42319,1.0296,0.99565,1,0.99423,0.82643,0.7284,0.34761,1.006,0.0004952,0.0004952,0.0004952
40,3701.5,0.76108,0.40009,1.00405,0.99565,1,0.99395,0.80825,0.75562,0.334,1.02947,0.0004556,0.0004556,0.0004556
41,3785.21,0.68508,0.34609,0.95833,0.99568,1,0.99443,0.81736,0.7611,0.35249,1.00769,0.000416,0.000416,0.000416
42,3867.4,0.64115,0.33149,0.95028,0.9957,1,0.99411,0.81365,0.77592,0.34825,0.99807,0.0003764,0.0003764,0.0003764
